Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
0,23.6,23.96,23.87,0.0
1,23.6,23.96,23.87,0.0
2,23.6,23.96,23.87,0.0
3,23.6,23.96,23.87,0.0
4,23.6,23.96,23.87,0.0
5,23.6,23.96,23.87,0.0
6,23.6,23.96,23.87,0.0
7,23.6,23.96,23.87,0.0
8,23.6,23.96,23.87,0.0
9,23.6,23.96,23.87,0.0
10,23.6,23.96,23.87,0.0
11,23.6,23.96,23.87,0.0
12,23.6,23.96,23.87,0.0
13,23.6,23.96,23.87,0.0
14,23.6,23.96,23.87,0.0
15,23.6,23.96,23.87,0.0
16,23.6,23.96,23.87,0.0
17,23.6,23.96,23.87,0.0
18,23.51,23.96,23.87,0.0
19,23.6,23.96,23.87,0.0
20,23.6,23.96,23.87,0.0
21,23.6,23.96,23.87,0.0
22,23.6,23.96,23.87,0.0
23,23.6,23.96,23.87,0.0
24,23.6,23.96,23.87,0.0
25,23.6,23.96,23.87,0.0
26,23.6,23.96,23.87,0.0
27,23.6,23.96,23.87,0.0
28,23.6,23.96,23.87,0.0
29,23.6,23.96,23.87,0.0
30,23.51,23.96,23.87,0.0
31,23.51,23.96,23.87,0.0
32,23.6,23.96,23.87,0.0
33,23.51,23.96,23.87,0.0
34,23.6,23.96,23.87,0.0
35,23.51,23.96,23.87,0.0
36,23.51,23.96,23.87,0.0
37,23.6,23.96,23.87,0.0
38,23.6,23.96,23.87,0.0
39,23.69,23.96,23.87,0.2
40,23.78,23.96,23.87,0.2
41,23.78,23.96,23.87,0.2
42,23.87,23.96,23.87,0.2
43,23.87,23.96,23.87,0.2
44,23.96,23.96,23.78,0.2
45,23.96,23.96,23.78,0.2
46,24.05,23.96,23.87,0.2
47,24.05,23.96,23.87,0.2
48,24.05,23.96,23.78,0.2
49,24.05,23.96,23.78,0.2
50,24.14,23.96,23.78,0.2
51,24.14,23.96,23.78,0.2
52,24.23,24.05,23.87,0.2
53,24.23,24.05,23.78,0.2
54,24.23,24.05,23.87,0.2
55,24.23,24.05,23.87,0.2
56,24.23,24.05,23.78,0.2
57,24.32,24.05,23.87,0.2
58,24.32,24.05,23.87,0.2
59,24.32,24.05,23.87,0.2
60,24.32,24.05,23.87,0.2
61,24.41,24.14,23.87,0.2
62,24.41,24.14,23.87,0.2
63,24.41,24.14,23.87,0.2
64,24.41,24.14,23.87,0.2
65,24.41,24.14,23.87,0.2
66,24.41,24.14,23.87,0.2
67,24.41,24.14,23.87,0.2
68,24.5,24.14,23.87,0.2
69,24.5,24.14,23.87,0.2
70,24.5,24.23,23.87,0.2
71,24.5,24.23,23.87,0.2
72,24.5,24.23,23.87,0.2
73,24.5,24.23,23.87,0.2
74,24.59,24.23,23.96,0.2
75,24.59,24.23,23.96,0.2
76,24.59,24.23,23.96,0.2
77,24.59,24.32,23.96,0.2
78,24.59,24.32,23.96,0.2
79,24.59,24.32,23.96,0.2
80,24.59,24.32,23.96,0.2
81,24.59,24.32,23.96,0.2
82,24.68,24.32,23.96,0.2
83,24.68,24.32,23.96,0.2
84,24.68,24.32,23.96,0.2
85,24.68,24.32,24.05,0.2
86,24.68,24.41,24.05,0.2
87,24.68,24.41,24.05,0.2
88,24.68,24.41,24.05,0.2
89,24.68,24.41,24.05,0.2
90,24.77,24.41,24.05,0.2
91,24.77,24.41,24.05,0.2
92,24.77,24.41,24.05,0.2
93,24.77,24.41,24.05,0.2
94,24.77,24.5,24.05,0.2
95,24.77,24.41,24.14,0.2
96,24.77,24.41,24.05,0.2
97,24.77,24.5,24.05,0.2
